2026-04-07 17:31:48 | INFO     | vaccine_monitor.anomaly_detector | Training anomaly detection model on synthetic data...
2026-04-07 17:31:48 | INFO     | vaccine_monitor.anomaly_detector | Training anomaly detection model on synthetic data...
2026-04-07 17:31:48 | INFO     | vaccine_monitor.anomaly_detector | Anomaly detection model trained and saved to ml\models\anomaly_model.joblib
2026-04-07 17:31:48 | INFO     | vaccine_monitor.anomaly_detector | Anomaly detection model trained and saved to ml\models\anomaly_model.joblib
2026-04-07 17:31:48 | INFO     | vaccine_monitor.prediction_model | Training prediction model on synthetic data...
2026-04-07 17:31:48 | INFO     | vaccine_monitor.prediction_model | Training prediction model on synthetic data...
2026-04-07 17:31:49 | INFO     | vaccine_monitor.prediction_model | Prediction model trained on 500 samples and saved to ml\models\prediction_model.joblib
2026-04-07 17:31:49 | INFO     | vaccine_monitor.prediction_model | Prediction model trained on 500 samples and saved to ml\models\prediction_model.joblib
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | ============================================================
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | ============================================================
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      |   SMART VACCINE MONITORING SYSTEM — STARTING
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      |   SMART VACCINE MONITORING SYSTEM — STARTING
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | ============================================================
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | ============================================================
2026-04-07 17:31:51 | INFO     | vaccine_monitor.database  | Database tables created/verified successfully
2026-04-07 17:31:51 | INFO     | vaccine_monitor.database  | Database tables created/verified successfully
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | Database initialized successfully
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | Database initialized successfully
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | ML models loaded/trained successfully
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | ML models loaded/trained successfully
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | Starting in SIMULATION MODE
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | Starting in SIMULATION MODE
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | CSV simulator started: simulation/sample_data.csv
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | CSV simulator started: simulation/sample_data.csv
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | System ready. Mode: SIMULATION. DB: sqlite+aiosqlite:///./vaccine_monitor.db
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | System ready. Mode: SIMULATION. DB: sqlite+aiosqlite:///./vaccine_monitor.db
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | Dashboard available at http://localhost:8000
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | Dashboard available at http://localhost:8000
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | Safe temp range: 2.0°C – 8.0°C
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | Safe temp range: 2.0°C – 8.0°C
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | ============================================================
2026-04-07 17:31:51 | INFO     | vaccine_monitor.main      | ============================================================
2026-04-07 17:31:51 | INFO     | vaccine_monitor.simulator | Starting CSV simulator: path=simulation/sample_data.csv, interval=3s
2026-04-07 17:31:51 | INFO     | vaccine_monitor.simulator | Starting CSV simulator: path=simulation/sample_data.csv, interval=3s
2026-04-07 17:31:51 | INFO     | vaccine_monitor.simulator | Simulator cycle 1: reading simulation/sample_data.csv
2026-04-07 17:31:51 | INFO     | vaccine_monitor.simulator | Simulator cycle 1: reading simulation/sample_data.csv
2026-04-07 17:31:51 | INFO     | vaccine_monitor.simulator | Loaded 200 rows from CSV
2026-04-07 17:31:51 | INFO     | vaccine_monitor.simulator | Loaded 200 rows from CSV
2026-04-07 17:31:51 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=6.0, vvm=0.017625, potency=98.2%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:31:51 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=6.0, vvm=0.017625, potency=98.2%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:31:54 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=2.2, vvm=0.036236, potency=96.4%, exposure=0min, anomaly=False, eta=None
